Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_[3, 6, 7, 8];0.49361766599323725;0.03658972796273894;0.4552686753014549;0.06959784487885252;0.4727319732505011;0.05233545581780012;0.6126816446885808;0.035024064658604685;0.5784151454112882;0.028418596824698272;0.21985104084014892;0.01618325481324859
SVDD_Linear_auto_[3, 6, 7, 8];0.49361766599323725;0.03658972796273894;0.4552686753014549;0.06959784487885252;0.4727319732505011;0.05233545581780012;0.6126816446885808;0.035024064658604685;0.5784151454112882;0.028418596824698272;0.21785871982574462;0.010319629159522267
SVDD_Sigmoid_scale_[3, 6, 7, 8];0.48599655145978576;0.035892154183649994;0.4541128766190227;0.060299956638488306;0.4687015609780508;0.0458698569293258;0.5536234300519481;0.04446320052976745;0.5715666106939009;0.02759684070670232;0.5936293840408325;0.007725645329342134
SVDD_Sigmoid_auto_[3, 6, 7, 8];0.49361766599323725;0.03658972796273894;0.4552686753014549;0.06959784487885252;0.4727319732505011;0.05233545581780012;0.6126831678497288;0.03502393885313876;0.5784151454112882;0.028418596824698272;0.4847033739089966;0.006554612041719697
SVDD_Poly_2_scale_[3, 6, 7, 8];0.5038733092277718;0.02651881292726894;0.48870063111290857;0.04272115474402654;0.49592004851360827;0.03366324654920368;0.6252413147030428;0.02723067399491647;0.5852638662908672;0.021998898460088262;0.23409156799316405;0.012335761647625553
SVDD_Poly_2_auto_[3, 6, 7, 8];0.5046146863400691;0.030779131688783188;0.3536110726790903;0.04634663439017396;0.41509829821048927;0.04029454536509912;0.6252756793717896;0.027140829239091984;0.5850697922057614;0.019207865952129657;0.2251115322113037;0.01121578623982332
SVDD_Poly_3_scale_[3, 6, 7, 8];0.4964570103047648;0.03652458845481837;0.4621960174966209;0.06385187171483434;0.4780296955686031;0.049451184197724186;0.6132002439952371;0.02977486382689844;0.5802496807318408;0.028863907874485985;0.2290717363357544;0.015170078564845391
SVDD_Poly_3_auto_[3, 6, 7, 8];0.4590405367035322;0.002420284069177098;0.9880109832802972;0.005822922658672293;0.6268374552232979;0.002879808808160861;0.6165995090267419;0.03044322686293261;0.5078116448174308;0.004469933371303148;0.18575139045715333;0.00981728332628587
SVDD_Poly_4_scale_[3, 6, 7, 8];0.4976461197138942;0.02161806437779297;0.49538638371239124;0.048300285408436144;0.49607755213720994;0.03406452606800844;0.619008158937118;0.021093824602698246;0.5804404969785877;0.018345327833838215;0.25242199897766116;0.016042077059480582
SVDD_Poly_4_auto_[3, 6, 7, 8];0.4502622788579254;0.004350580221089129;0.9963107033769332;0.0037454376453846887;0.6202048860866762;0.0036531003678304716;0.6211208399278887;0.02355168224249724;0.48939070976197296;0.009244173419153965;0.18693816661834717;0.00669504480883574
