Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47778768442317743;0.01526460732652797;0.5166317249029395;0.022874758463955567;0.4963172673973789;0.017343907140199524;0.6126199571009768;0.011629200475284224;0.6016563783537097;0.012688711762408138;1.0348873138427734;0.014651869226986738
SVDD_Linear_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47778768442317743;0.01526460732652797;0.5166317249029395;0.022874758463955567;0.4963172673973789;0.017343907140199524;0.6126199571009768;0.011629200475284224;0.6016563783537097;0.012688711762408138;1.043097734451294;0.021969623379644407
SVDD_Sigmoid_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4957167426055545;0.01319000762832291;0.5191286744315031;0.023830982840145842;0.5070068970638231;0.016973160135898516;0.6276490030787689;0.010905384132492148;0.6165861215862417;0.010395848235503595;1.8262020826339722;0.0206311865146377
SVDD_Sigmoid_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47778768442317743;0.01526460732652797;0.5166317249029395;0.022874758463955567;0.4963172673973789;0.017343907140199524;0.6126230152127405;0.011635542247457237;0.6016563783537097;0.012688711762408138;1.6388972997665405;0.006735929800607783
SVDD_Poly_2_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4521988511933907;0.01731245920070511;0.518293954520244;0.026420345505006923;0.4828283584336089;0.019770689699357077;0.583623179338291;0.015619634325417195;0.5782501461180634;0.015213831780324101;1.1357075452804566;0.019679744957352637
SVDD_Poly_2_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.45271866486912116;0.017436755939087015;0.513967276760954;0.025056418592957038;0.4812550128094336;0.01939157694146071;0.5835926556645953;0.01564858226570028;0.579072330442998;0.015326919067684667;1.1415923595428468;0.024791962985493434
SVDD_Poly_3_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.44141434811605373;0.017340839448866285;0.5156336661120354;0.023468730057648192;0.47552179740069944;0.018610776483406533;0.5697102219090631;0.017500616985600497;0.567812472477762;0.015647310472560835;1.1425324201583862;0.014966554101437948
SVDD_Poly_3_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.43677251065367084;0.029909873193784235;0.3875843039378813;0.2747060789434269;0.35015170377295773;0.16599197197034044;0.5652310129376209;0.018228686433913073;0.568503791063179;0.04890565353414469;0.9327468395233154;0.010286161224640124
SVDD_Poly_4_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.43541576464012266;0.019066421210245477;0.5123036605657239;0.024892157850995265;0.4705827059198263;0.01988257822874909;0.5623606803287038;0.018507616503901703;0.5619925699965572;0.01738487266046736;1.1920011043548584;0.029047095027737665
SVDD_Poly_4_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4144397639980501;0.02662349243845038;0.4449248474764282;0.3629673349429608;0.34739173819903824;0.17902042093011603;0.556872016310684;0.019421925278575523;0.5366072186326553;0.09036049080128558;0.8901605844497681;0.016568211055144045
