Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_[3, 6, 7, 8];0.5308277359159688;0.028852851101446687;0.4359273433166944;0.057817031369989925;0.47664373761017753;0.03894347776141396;0.688928651793496;0.026641704818816593;0.6387289730101922;0.017687660306086976;0.07817709445953369;0.009012887681795576
SVDD_Linear_auto_[3, 6, 7, 8];0.5308277359159688;0.028852851101446687;0.4359273433166944;0.057817031369989925;0.47664373761017753;0.03894347776141396;0.688928651793496;0.026641704818816593;0.6387289730101922;0.017687660306086976;0.07908833026885986;0.004903049083137518
SVDD_Sigmoid_scale_[3, 6, 7, 8];0.3280815093683691;0.02289359609882809;0.4430784803105935;0.05849887406824903;0.376008636176283;0.03371804752811998;0.4215160823231122;0.03465173795211293;0.44401152130921784;0.027864295658531157;0.24028308391571046;0.007424486395880146
SVDD_Sigmoid_auto_[3, 6, 7, 8];0.530848520302009;0.028967253095548172;0.43609373266777596;0.05755526537609097;0.47676248288100564;0.038738307641329774;0.6888996210963587;0.0266478566735192;0.6387289730101922;0.017762144880867973;0.2020695686340332;0.010137411040230686
SVDD_Poly_2_scale_[3, 6, 7, 8];0.49098195072970696;0.027272709348189424;0.44608042151968946;0.04478398761272016;0.4666681254931766;0.03311532865152612;0.6698698430620169;0.024882835466642036;0.6137414230698405;0.018920560637516844;0.10227062702178955;0.0069162700150936585
SVDD_Poly_2_auto_[3, 6, 7, 8];0.4968095366176682;0.046696925078418286;0.27865696062118694;0.20670687070294255;0.31148339666252156;0.17347267998586902;0.6688812076244808;0.02472670165529154;0.6174737988294543;0.014551117383179256;0.09617500305175782;0.009829897657294289
SVDD_Poly_3_scale_[3, 6, 7, 8];0.505603183203893;0.031779695583541955;0.4409193011647255;0.04389134969175445;0.4699094406941516;0.03213046637758347;0.6812395519938425;0.0276001437482877;0.6230408570124661;0.02064635502643971;0.09632236957550049;0.005791220717934326
SVDD_Poly_3_auto_[3, 6, 7, 8];0.47873119302680023;0.04685501970728085;0.5404276206322797;0.35909886515472256;0.4293203684194979;0.1868475196089037;0.6888173378835727;0.028977505103846043;0.5801399530820903;0.05416534558385526;0.0912545919418335;0.007680113884737462
SVDD_Poly_4_scale_[3, 6, 7, 8];0.47264638521142477;0.02730484251995864;0.450073488630061;0.03598870733105985;0.4604141209569727;0.026804131342687106;0.6571650568213976;0.023608520324515363;0.5996353053267041;0.02014772928900424;0.09730286598205566;0.005000483426778605
SVDD_Poly_4_auto_[3, 6, 7, 8];0.46224086217000265;0.03333659685975815;0.5680493621741542;0.3426283006438079;0.4480276916040834;0.1735862650536155;0.6674662430529616;0.02527813093140596;0.5750791839806564;0.05270598940614561;0.08940412998199462;0.006402683042541682
SVDD_RBF_0.001_scale_[3, 6, 7, 8];0.4778285585970086;0.016446781243323272;0.9009559068219634;0.03496345856643056;0.624103824836937;0.016516882210691006;0.6820493777377838;0.03391244133423415;0.5873608675810054;0.02436213540859756;0.01958918571472168;0.000996116566959138
SVDD_RBF_0.01_scale_[3, 6, 7, 8];0.477333487901298;0.01645615792466031;0.9011225734886301;0.03472349439903682;0.6237210271123848;0.016445636758714025;0.6822653364007834;0.033814831966161404;0.5866017342012346;0.0244284846664711;0.020815110206604003;0.0012092827359235902
SVDD_RBF_0.05_scale_[3, 6, 7, 8];0.48430397279289306;0.014868029335362526;0.8648355518580144;0.03955770868018727;0.6204728883446171;0.01580075532255364;0.6897670962228485;0.02900309725267483;0.5979884947037206;0.02094170057294126;0.031099891662597655;0.0009649021180549044
SVDD_RBF_0.1_scale_[3, 6, 7, 8];0.49650612589164356;0.016932761009119425;0.8107398779811426;0.04421044313561661;0.615376227322559;0.020102401452419493;0.6939067984764621;0.030002194845550525;0.6151318665481709;0.02118185812578438;0.04748890399932861;0.0010986727212757685
SVDD_RBF_0.2_scale_[3, 6, 7, 8];0.5100111190118146;0.020750208431139484;0.7201866333887964;0.06277567812841221;0.5962070501865883;0.030267499462035698;0.691864420127452;0.031129826699421437;0.6305660173420123;0.021743539991967094;0.08017520904541016;0.0011583953917000296
SVDD_RBF_0.3_scale_[3, 6, 7, 8];0.5201953434572888;0.020580115326274115;0.6196608430393787;0.0625987389185821;0.5645004202489922;0.03352636822042737;0.6933120734150565;0.02977725748555196;0.6384106758260675;0.01849384699452713;0.11231446266174316;0.0011802875481466849
SVDD_RBF_0.4_scale_[3, 6, 7, 8];0.5237393794016311;0.024740822149897215;0.5236314475873545;0.057490519223664674;0.5226387217135569;0.03741392969509704;0.6941747954090122;0.029664002812452805;0.6383475448162115;0.018526127342575666;0.1427715539932251;0.0010854517611985793
SVDD_RBF_0.5_scale_[3, 6, 7, 8];0.5299289480773599;0.029732094328662535;0.43441930116472544;0.052724632128568996;0.47616187705557184;0.03939820560402071;0.6947191127033177;0.029483349957713068;0.63872713152227;0.018245761117412135;0.17146456241607666;0.0004973945087305085
SVDD_RBF_0.6_scale_[3, 6, 7, 8];0.5361778679528173;0.03188280612177918;0.3440396561286744;0.05080471248624347;0.4174940299948343;0.042951592937543547;0.695607133518965;0.02891381212662673;0.6378411756699414;0.014797096764777782;0.1992426872253418;0.0009885273174713358
SVDD_RBF_0.7_scale_[3, 6, 7, 8];0.5327153503545448;0.039236250719382436;0.25466084303937875;0.04977560033543001;0.34294187923861486;0.052350560461734474;0.696600853452862;0.028277215856824325;0.6329067886852576;0.014460078208737959;0.2257714033126831;0.0016136338398842942
SVDD_RBF_0.8_scale_[3, 6, 7, 8];0.5312763126544283;0.06099848694081144;0.16727149195784802;0.03404907380036521;0.2535721355912066;0.0447170669373376;0.6978097167985331;0.02802165344539583;0.6280349322252381;0.01447320710214022;0.25149471759796144;0.0057171728176366645
SVDD_RBF_0.9_scale_[3, 6, 7, 8];0.5268000912074218;0.10253834447007572;0.08221769273433167;0.026117779916618143;0.14130388417947776;0.04115038581996454;0.6989400984187353;0.027787127628607154;0.6233537498298625;0.011907554389386297;0.27419707775115965;0.0059482688710909785
SVDD_RBF_0.001_auto_[3, 6, 7, 8];0.41462200141790156;0.019374788759713227;0.9861855241264559;0.01698537232603574;0.5833703137229479;0.01751880881670373;0.6172592917699526;0.06056585167120252;0.4631242443894667;0.04445681716783348;0.009680223464965821;0.0001956525035058953
SVDD_RBF_0.01_auto_[3, 6, 7, 8];0.43375120433328557;0.017516836721433657;0.9672066001109263;0.024523933294746773;0.5984544782470094;0.014192671496312185;0.6435826329699933;0.033973348191838657;0.505696923113876;0.03651195392626124;0.012415647506713867;0.00026789371880241885
SVDD_RBF_0.05_auto_[3, 6, 7, 8];0.4589631262151975;0.018329925419576076;0.9034525790349418;0.03839664163843945;0.6079539945712888;0.013088359618928532;0.666020455986055;0.028087297249126033;0.5564934066725915;0.03325422607062552;0.024001336097717284;0.0009142896141614447
SVDD_RBF_0.1_auto_[3, 6, 7, 8];0.47361478348497477;0.02078944158782031;0.8418724348308375;0.05192520477777482;0.6051415526866839;0.017947896058169623;0.6731231023690675;0.027128145160694332;0.5823030608731854;0.031793054946868564;0.037550044059753415;0.0006356598819037169
SVDD_RBF_0.2_auto_[3, 6, 7, 8];0.4930136184319796;0.021026691504672346;0.7333505268996119;0.06599284774471026;0.5881161198174835;0.025537563134179774;0.6815825933534813;0.02682729436619478;0.6107689413045742;0.025511669669712116;0.06386365890502929;0.00043611943576402404
SVDD_RBF_0.3_auto_[3, 6, 7, 8];0.5124365016630203;0.025741170953498545;0.6333208541320021;0.06448154970273658;0.5644981681935766;0.027827359252296156;0.6851967208846934;0.026744971230170115;0.6300625705570101;0.02350589958341973;0.09041252136230468;0.0030334477134843136
SVDD_RBF_0.4_auto_[3, 6, 7, 8];0.521211099742456;0.028916546635738328;0.5306289517470881;0.06403316622520684;0.5237350368774999;0.03636597838834051;0.6876226023520889;0.026422476936360132;0.6354397152899544;0.021832174878367323;0.11517226696014404;0.004590556617179806
SVDD_RBF_0.5_auto_[3, 6, 7, 8];0.5306298818212021;0.029043571205485376;0.43559456461453133;0.057897348178233804;0.4763641322831873;0.039084464587057416;0.6889721193136156;0.02661752700421515;0.6386025108287496;0.01781184487970571;0.13710660934448243;0.0012935405086892146
SVDD_RBF_0.6_auto_[3, 6, 7, 8];0.5292110653950897;0.03497181595852703;0.3448804769828064;0.05173306625165428;0.4158809651047607;0.044175638102643786;0.6901546113620157;0.026501511670747886;0.6345535993082411;0.016876388543348005;0.16059963703155516;0.003965877377249529
SVDD_RBF_0.7_auto_[3, 6, 7, 8];0.5330544382299631;0.03352166590307226;0.25782889628397115;0.04028524007505466;0.346031175090749;0.04042546577868822;0.690867319207217;0.02630380498704187;0.6322128679973419;0.011892600503135535;0.18001644611358641;0.0022165548241205174
SVDD_RBF_0.8_auto_[3, 6, 7, 8];0.5244785241351009;0.03340076571152237;0.1687750970604548;0.028554640888758274;0.2542982724523913;0.03492310014938353;0.6912766794571407;0.026113150295511037;0.6260753088495503;0.007973076979033253;0.1982731342315674;0.0011632958285605283
SVDD_RBF_0.9_auto_[3, 6, 7, 8];0.5075444267380307;0.08198281274764387;0.08421741541874654;0.025929700572943887;0.1433702569599404;0.039964156904389696;0.6916161083568203;0.026204574573555205;0.6210772304021649;0.010206079595473502;0.21938824653625488;0.00794539538895398
SVDD_Linear_scale_[2, 3, 8, 9];0.581816219250425;0.03879022008908313;0.4342376594564614;0.06246468914096597;0.4936620847597665;0.04355307484721431;0.7191215924140039;0.028964773238288388;0.664599596473951;0.01878660219620873;0.08985865116119385;0.011248822169492767
SVDD_Linear_auto_[2, 3, 8, 9];0.581816219250425;0.03879022008908313;0.4342376594564614;0.06246468914096597;0.4936620847597665;0.04355307484721431;0.7191215924140039;0.028964773238288388;0.664599596473951;0.01878660219620873;0.08186440467834473;0.0075726503688121945
SVDD_Sigmoid_scale_[2, 3, 8, 9];0.314341542944623;0.038807926849010924;0.44223682750970605;0.049008294978587635;0.36688976950397173;0.04113871046625791;0.3769822107711637;0.06680017985096903;0.41902517233925013;0.050750975034633265;0.24579267501831054;0.009874868369112954
SVDD_Sigmoid_auto_[2, 3, 8, 9];0.5816930270020667;0.0386172463105787;0.43373849140321685;0.06176034874513484;0.4933294182376617;0.04299736932716899;0.7191146349055428;0.028968138679195978;0.6644730942601622;0.018654668814587178;0.19956531524658203;0.007955330094326998
SVDD_Poly_2_scale_[2, 3, 8, 9];0.5626084947684895;0.04131545664827113;0.4468910149750417;0.05424464132351659;0.49521375389607075;0.03775402694515787;0.7226958580936534;0.03446132189468707;0.6556173388097584;0.024059899938185497;0.10234813690185547;0.005416925385312419
SVDD_Poly_2_auto_[2, 3, 8, 9];0.5622556493289899;0.06773747618889207;0.2933139212423738;0.2604802717187492;0.31930905273598353;0.22182338503470336;0.722067351749352;0.03509261065163587;0.6445493158472045;0.026276812166699106;0.09668328762054443;0.005460246944757774
SVDD_Poly_3_scale_[2, 3, 8, 9];0.5567047175504257;0.03770067157467102;0.4470604547975596;0.04454086676283877;0.49383623323123055;0.031003085811686638;0.7210100668387155;0.034114447581690445;0.6527705986437041;0.022558071748732533;0.09721832275390625;0.004758753263179496
SVDD_Poly_3_auto_[2, 3, 8, 9];0.5232124575206011;0.08252221418947782;0.5212931225734886;0.378414440357868;0.4123677340741347;0.21465174293833056;0.7271714393244819;0.03779187227662015;0.590702247415912;0.06914131477329842;0.08460688591003418;0.008071493243681503
SVDD_Poly_4_scale_[2, 3, 8, 9];0.5341056486467934;0.03200960377661883;0.4490618413754853;0.03834834590107503;0.4862219308849666;0.024120831839141446;0.7097351186231563;0.03340983525807396;0.6400558851552055;0.020705646681892325;0.10616703033447265;0.009245542728780701
SVDD_Poly_4_auto_[2, 3, 8, 9];0.5528935037929611;0.1627349430250669;0.5329412090959512;0.3773472975862122;0.41749692726091353;0.2084088666063042;0.7201053476631918;0.038011238555846816;0.5862109384382581;0.06609930542546448;0.09274141788482666;0.007145374006589021
SVDD_RBF_0.001_scale_[2, 3, 8, 9];0.5097708284292779;0.014909844228817495;0.8952942318358291;0.05034218046415087;0.6488818460790011;0.0158029922386018;0.7436708153644153;0.024808162131915303;0.6320848045220538;0.02003523776006586;0.019798469543457032;0.0012302943465272653
SVDD_RBF_0.01_scale_[2, 3, 8, 9];0.5099497784955227;0.014770521010144925;0.896126733222407;0.04974064030403503;0.6492587809496501;0.015479305365396425;0.74363205202214;0.024699374708038083;0.6323378890143235;0.01977842313983896;0.020760631561279295;0.0012381112219666014
SVDD_RBF_0.05_scale_[2, 3, 8, 9];0.524723184024892;0.01670038683688042;0.863167498613422;0.06163859579331637;0.6514540551570436;0.018843023725204817;0.7459117924207952;0.02273971649609346;0.649735025900928;0.019459752126024663;0.03121001720428467;0.0009392921424013505
SVDD_RBF_0.1_scale_[2, 3, 8, 9];0.5389540830315577;0.02073583177543666;0.8112396006655574;0.06247051452119868;0.646267411257838;0.023252678154557335;0.7487638182394422;0.02318820796989707;0.6633347744977943;0.02160100269071227;0.04721767902374267;0.0005659943084766207
SVDD_RBF_0.2_scale_[2, 3, 8, 9];0.563084281422701;0.02286538136973358;0.7068740987243484;0.06915943186167077;0.6250524852924209;0.03237403730443851;0.7502090376583245;0.02450385326875383;0.6794013963282333;0.020005112080425675;0.08006024360656738;0.0008207617120949754
