Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.6182843835314068;0.026900865926872578;0.5073075845756435;0.04043907914192245;0.5563975870477924;0.0289902070790668;0.7069798628704471;0.0316428188400685;0.6785072519573867;0.01691565502121445;0.20061702728271485;0.004257071492623931
SVDD_Linear_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.6182843835314068;0.026900865926872578;0.5073075845756435;0.04043907914192245;0.5563975870477924;0.0289902070790668;0.7069798628704471;0.0316428188400685;0.6785072519573867;0.01691565502121445;0.19629228115081787;0.004180526075906233
SVDD_Sigmoid_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.7145533887374591;0.026005759273031715;0.5104945379851233;0.03182422459355695;0.595070040412718;0.02668727552269706;0.7703296833223455;0.020603054161022576;0.7235836714947227;0.015617996318128442;0.33357231616973876;0.003147105283836443
SVDD_Sigmoid_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.6184789726971842;0.0271476761684002;0.5077028414926394;0.039976750005840604;0.5567359474499579;0.028795902847784327;0.706961339646371;0.031649507056552784;0.6786644846617892;0.01700194640267912;0.30028815269470216;0.0032419820022248007
SVDD_Poly_2_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4110853930647365;0.03677372636418316;0.5116398493666553;0.03452695654645167;0.454868166497555;0.029252840869511146;0.5484105822338108;0.03753882784849804;0.5102988655549302;0.04237504984414403;0.21146600246429442;0.005989891562452196
SVDD_Poly_2_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.41296710606923925;0.03675692483574259;0.4970200118265849;0.03643652789210256;0.44983093502195537;0.02839094729286757;0.5484075715496605;0.037562026038456174;0.5147003939456771;0.0428040680369017;0.20939745903015136;0.0050060585556929655
SVDD_Poly_3_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.36023114195066247;0.026320712356170128;0.4982197877439233;0.024620926063142156;0.41759477540400364;0.02207075857530865;0.47205128271803093;0.039063600604928625;0.4452674683806759;0.037797975621093535;0.21369581222534179;0.006799033565058154
SVDD_Poly_3_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4008399014038986;0.03197519944686554;0.8597475957797766;0.2202646906451112;0.5402675858589663;0.08639521451338769;0.43864094060761205;0.037215342852347386;0.4455846489539212;0.013074654681493419;0.16154842376708983;0.0038641320924369038
SVDD_Poly_4_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.35069323002479064;0.019579256484459247;0.4974401668170926;0.01979487769228713;0.4109983512358112;0.01614519314439558;0.4394067513921671;0.03886904587810155;0.43128683984479127;0.030395757649784496;0.2195084810256958;0.005103665678298948
SVDD_Poly_4_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.3947427085927947;0.039394275769875545;0.8569574554168871;0.23040275979267932;0.5345957259628527;0.09254584262612431;0.412964156281567;0.03648141532039836;0.4364710760937176;0.013331443288945933;0.16338305473327636;0.0021069663984096196
SVDD_RBF_0.001_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4548632601814143;0.012916330218457029;0.9810821325199963;0.007629870343410868;0.6214141656727741;0.011595988201099191;0.7416749260716552;0.023702980855477947;0.5231744221636405;0.025072347944685446;0.02558274269104004;0.00168522094850059
SVDD_RBF_0.01_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.45471091839370786;0.012485564684334186;0.9783215586194018;0.008671863455998673;0.6207277464827327;0.011344381648585405;0.7412790190744108;0.02299065433696046;0.5231736816642477;0.024094147057890834;0.02918076515197754;0.001711996332171733
SVDD_RBF_0.05_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4725817311554986;0.013219258273815331;0.9396999782141858;0.008944350808714207;0.6288100397341269;0.012961821619776857;0.7474575645897388;0.023545535249250953;0.5575725936238066;0.022384673312999117;0.05823469161987305;0.0011546832922787686
