Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_[3, 6, 7, 8];0.5480095407784094;0.04896649118598949;0.44872351636161956;0.06650458417222037;0.4923203368386101;0.05818204193710281;0.7034458235706929;0.04211722242504175;0.6507455624144308;0.030849268240165095;0.4111459732055664;0.01051462554553402
SVDD_Linear_auto_[3, 6, 7, 8];0.5480095407784094;0.04896649118598949;0.44872351636161956;0.06650458417222037;0.4923203368386101;0.05818204193710281;0.7034458235706929;0.04211722242504175;0.6507455624144308;0.030849268240165095;0.40365521907806395;0.008558188214033308
SVDD_Sigmoid_scale_[3, 6, 7, 8];0.3495113691638181;0.02758377885849659;0.46188935108153084;0.03539548077473276;0.39746885015127553;0.027833455932543775;0.44284157328488793;0.04275271289470311;0.46767424078655556;0.031854702282957795;1.2211504459381104;0.018821656925772062
SVDD_Sigmoid_auto_[3, 6, 7, 8];0.5478928158913001;0.04892456440276174;0.44872351636161956;0.06650458417222037;0.4922738295527515;0.05817201773449471;0.7034356390143413;0.0421114058544706;0.6506823113075364;0.030830170983099855;0.980938458442688;0.016375496067387266
SVDD_Poly_2_scale_[3, 6, 7, 8];0.4952032336251797;0.036514225615023536;0.4528860232945092;0.0621477163347646;0.47211501505133546;0.04889524479030737;0.6709066516123919;0.03443208467579128;0.6175977790054363;0.024828044286123854;0.47676405906677244;0.014473737900063274
SVDD_Poly_2_auto_[3, 6, 7, 8];0.5031579479243649;0.04634230267029297;0.3342218524681087;0.08751105365737802;0.39472368948012543;0.07201205646217025;0.6708512711240903;0.03451297105243135;0.6206345126862505;0.02352601250162512;0.48841128349304197;0.01391783644909852
SVDD_Poly_3_scale_[3, 6, 7, 8];0.5049609313778954;0.037961691682313614;0.45005768164170823;0.06069510992046946;0.4751032655111187;0.049556977379578704;0.6806812659173487;0.03498127123767299;0.6243664480900567;0.025164199059026213;0.49296720027923585;0.01538225334911101
SVDD_Poly_3_auto_[3, 6, 7, 8];0.5060582282928155;0.06069391781051643;0.6763652246256239;0.22661737646939192;0.5507882970737517;0.06005234990448395;0.6907083831369486;0.03659058298459638;0.5997453142138849;0.07292522921513055;0.334543776512146;0.027868442670399937
SVDD_Poly_4_scale_[3, 6, 7, 8];0.472621470325086;0.034350705199197466;0.45937659456461455;0.06137678602037767;0.4649995834111179;0.04651357037984763;0.6545628914960326;0.03223221376419294;0.6007701022426121;0.023285432047223487;0.5040318012237549;0.019721573347771033
SVDD_Poly_4_auto_[3, 6, 7, 8];0.47386814803035743;0.043019253062732896;0.7096497504159734;0.21258203622091715;0.5483463245398987;0.05256151925101491;0.6686767402967843;0.03463548149020073;0.571466985324142;0.07248557568411715;0.36786532402038574;0.00980206243892918
SVDD_RBF_0.001_scale_[3, 6, 7, 8];0.48206190656304554;0.014127391486287758;0.9272537437603994;0.03444715830824032;0.6340588372884217;0.015598249781073001;0.7206661355224286;0.016069024036317773;0.5931784081537883;0.021572975184627072;0.03214609622955322;0.002664885424674644
SVDD_RBF_0.01_scale_[3, 6, 7, 8];0.48383694114326403;0.012889582375531478;0.9230912368275097;0.03752818765457928;0.6345950003734504;0.015292981569119873;0.7207892008217597;0.014620649838982251;0.5960889198472366;0.019358920050007354;0.04215075969696045;0.002496048935399141
SVDD_RBF_0.05_scale_[3, 6, 7, 8];0.5010936074749999;0.01945142238473963;0.8738239046034387;0.04043662726368836;0.6364553489545641;0.02023044415419466;0.7217113792771683;0.027030041062120317;0.6205066493726932;0.026266299423311542;0.11213724613189698;0.0008719462388358922
SVDD_RBF_0.1_scale_[3, 6, 7, 8];0.5114833556334986;0.023815600732951133;0.8223912922906267;0.04016775695180587;0.6301667434330188;0.024135273939372325;0.7163739269584706;0.031863989526197505;0.6329055877148736;0.029844006113552278;0.20547311305999755;0.0017860969834149671
SVDD_RBF_0.2_scale_[3, 6, 7, 8];0.5267000830888964;0.030060171612806014;0.7173613422074321;0.05088712819231667;0.6065908020782735;0.03219468857019458;0.7117840181330436;0.03647256582830635;0.6465693880655569;0.03166260770029122;0.38110857009887694;0.0013182901362470921
SVDD_RBF_0.3_scale_[3, 6, 7, 8];0.535171905984783;0.03993963879441446;0.6158338879645037;0.04939822398228541;0.5716063557440032;0.03743825363694618;0.7100610037692282;0.03929696046410934;0.6491632839334182;0.03546214675156365;0.5449370384216309;0.0022150457599453078
SVDD_RBF_0.4_scale_[3, 6, 7, 8];0.544438059069982;0.04691149910687896;0.5281203549639489;0.05187491222525033;0.5349616187437927;0.04325412981736394;0.7089478932504782;0.040992806203283806;0.6514402036845771;0.03437681713826353;0.6985968112945556;0.005804301486560689
SVDD_RBF_0.5_scale_[3, 6, 7, 8];0.550892667952251;0.055678757418544784;0.4342465335551859;0.05156727131642837;0.4841447193741395;0.04787504433812839;0.7094137531551722;0.04203090468937038;0.6491001929559084;0.03345808249521687;0.8517460823059082;0.007699139744277064
SVDD_RBF_0.6_scale_[3, 6, 7, 8];0.5636358478791761;0.056487315327286236;0.34686328341652806;0.04771032156011223;0.42761339269435616;0.04631373895309349;0.7103220788481783;0.04256722168951603;0.6486571149488787;0.02597830045451444;0.976375937461853;0.006259882238650894
SVDD_RBF_0.7_scale_[3, 6, 7, 8];0.5757567341833588;0.06040585785843495;0.2636461453133666;0.03639387462022068;0.3599455028710145;0.039517829019835485;0.7114130870318178;0.04314724876854272;0.6450524023410916;0.02063031525190445;1.0669140100479126;0.008457748830487432
SVDD_RBF_0.8_scale_[3, 6, 7, 8];0.5858167629772726;0.06044534200451908;0.17659761508596783;0.024601612102535086;0.27022120306161923;0.030934095458984266;0.7125675894484249;0.04312345920426056;0.6387899022410106;0.012501493959827309;1.1536125898361207;0.002131011370258629
SVDD_RBF_0.9_scale_[3, 6, 7, 8];0.5734188203281287;0.046342379740316644;0.08488657792567943;0.012867447360839482;0.14732042301047396;0.019374723580076286;0.7136631337227071;0.043182068667195546;0.6277197975964579;0.004853285180937125;1.2283891916275025;0.002945375656436617
SVDD_RBF_0.001_auto_[3, 6, 7, 8];0.42073663295382174;0.00857507957140171;0.9895116472545757;0.009065953372887561;0.5903787601084824;0.009078911633012256;0.6301474011568021;0.05161290613958365;0.47792128039455883;0.01787770791599742;0.011606740951538085;0.00028978102249926197
SVDD_RBF_0.01_auto_[3, 6, 7, 8];0.437845175028599;0.011837235449232673;0.9655393788130894;0.021716617476854133;0.6023731987132575;0.013223135200464047;0.6508915512128312;0.040722121507604604;0.5153084492269755;0.022020432668850048;0.025631213188171388;0.0005010442020718411
SVDD_RBF_0.05_auto_[3, 6, 7, 8];0.46261433447889866;0.018813140012862377;0.9132706600110927;0.036038829119807395;0.6139217925722786;0.022090690278728748;0.6732007657305851;0.042000466831710694;0.5631955820302804;0.030085112168572195;0.08444509506225586;0.0011418058477795673
SVDD_RBF_0.1_auto_[3, 6, 7, 8];0.4788080076556791;0.022408146488481634;0.8500174708818637;0.04845071953175792;0.6122256690614098;0.027918078373431708;0.6847678412962522;0.04098132307600428;0.5909022089848597;0.031048492985022234;0.15563762187957764;0.002813570835897075
SVDD_RBF_0.2_auto_[3, 6, 7, 8];0.5005753439441171;0.029844474395002492;0.7356708264004437;0.061867226396049455;0.5952971519047695;0.03884705357624504;0.6945887613614496;0.04153987030138823;0.6206962025316456;0.032946591377071;0.2926753282546997;0.0037470628838638972
SVDD_RBF_0.3_auto_[3, 6, 7, 8];0.5172320995626968;0.03356986718797241;0.6402964503605103;0.06984608781551191;0.5714764472689093;0.04621077741205291;0.6992153081032747;0.0415250370727536;0.6368275166334397;0.031172034372301143;0.4330965280532837;0.008656739339073578
SVDD_RBF_0.4_auto_[3, 6, 7, 8];0.5336711478417332;0.0435866243614542;0.5447598447032723;0.07165242128882901;0.5383646663738778;0.05574066907499414;0.7017504176712283;0.04179638723316933;0.6471390883834138;0.033487666035925324;0.561514139175415;0.001534414505505844
SVDD_RBF_0.5_auto_[3, 6, 7, 8];0.5483481218862097;0.049012617193762854;0.44872351636161956;0.06650458417222037;0.492457048440916;0.05820449861691152;0.7034694333140911;0.042116049609455454;0.6509353157351139;0.030870741608847386;0.6747531175613404;0.00191389393721501
SVDD_RBF_0.6_auto_[3, 6, 7, 8];0.561232130809083;0.0552727518054321;0.3581833056017748;0.0551037935646351;0.4363245052044122;0.05592620365009764;0.7044482014103479;0.04225859787760319;0.6503025644720933;0.02739247800031449;0.7756790161132813;0.0026152610539720567
SVDD_RBF_0.7_auto_[3, 6, 7, 8];0.5685171008564647;0.05406301917204535;0.2636464226289517;0.036940038723827597;0.35921179736055453;0.04211788599820384;0.7049065126716244;0.042214314844011364;0.6439137623199545;0.018838137469513717;0.8657858610153198;0.0021155401863426995
