Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_[3, 6, 7, 8];0.5157610638385564;0.03731363003445949;0.4832140300644238;0.04301765959743505;0.49828497885596096;0.03589577980697121;0.6543741746520222;0.037851212996796724;0.6128491454637006;0.026792487973974318;0.12576873302459718;0.009913478743947985
SVDD_Linear_auto_[3, 6, 7, 8];0.5157610638385564;0.03731363003445949;0.4832140300644238;0.04301765959743505;0.49828497885596096;0.03589577980697121;0.6543741746520222;0.037851212996796724;0.6128491454637006;0.026792487973974318;0.12277069091796874;0.0042166623195040095
SVDD_Sigmoid_scale_[3, 6, 7, 8];0.5059429014530494;0.03490964158770944;0.4836170676293922;0.03374004679570518;0.49410486190929925;0.031031271723365898;0.570815967726116;0.037083487060944054;0.6054685880157578;0.025983103444621996;0.34083216190338134;0.0039673958947614605
SVDD_Sigmoid_auto_[3, 6, 7, 8];0.5157610638385564;0.03731363003445949;0.4832140300644238;0.04301765959743505;0.49828497885596096;0.03589577980697121;0.6543700547684483;0.037855665022648304;0.6128491454637006;0.026792487973974318;0.280995512008667;0.00650869965445764
SVDD_Poly_2_scale_[3, 6, 7, 8];0.4703767843551785;0.03437861571301485;0.49944134947558433;0.028387900675588943;0.4839686892867028;0.0276250368031618;0.6175211294364218;0.03796921335431945;0.5751675996959016;0.02993556092005412;0.13802168369293213;0.0061460754271445515
SVDD_Poly_2_auto_[3, 6, 7, 8];0.4676233658067786;0.03668191130535721;0.4135383274719119;0.07309523409671617;0.436030513838036;0.048185705658021764;0.6174903887666783;0.037996761046472836;0.5783078107875952;0.02661987589462717;0.13216586112976075;0.0030498766592319073
SVDD_Poly_3_scale_[3, 6, 7, 8];0.5139930190968487;0.036962668022066;0.4844044692041953;0.045255165881635605;0.4980944042828407;0.037581765815634674;0.6674155482780878;0.03555320632164796;0.6117519721967162;0.027253280764079565;0.14325435161590577;0.0034832613243746978
SVDD_Poly_3_auto_[3, 6, 7, 8];0.5010894063889036;0.06839227708781266;0.5649435124957207;0.3318812347695048;0.4605599216177153;0.1801380249871451;0.6510407825405997;0.034569652507725826;0.5774873374603834;0.034588544787349344;0.1039726734161377;0.016239983249195285
SVDD_Poly_4_scale_[3, 6, 7, 8];0.48072140573455124;0.0342391930826565;0.509294762067785;0.03135544605848772;0.4941865224007767;0.02960149544401548;0.6270581764127646;0.0346006567475908;0.5842759890603556;0.02959365173516379;0.1396328926086426;0.004828493009153769
SVDD_Poly_4_auto_[3, 6, 7, 8];0.4291146429785736;0.03604680067983545;0.5645638168746693;0.33881763286180727;0.4431525198126799;0.1715484781834866;0.6141448889106305;0.03391632514393698;0.5426187020526644;0.03780279192184259;0.09885821342468262;0.005852088856569177
